casualty_imd_quintile,driver_imd_quintile,crash_quintile,ranked_dist,demog_dist,crash_count,ranked_occurrences,crash_count_dist,crash_prop_dist
5 least deprived,2 more deprived,5 least deprived,6,4.242640687119285,253,3,3182,0.06507689790575916
5 least deprived,3 mid deprived,1 most deprived,7,4.898979485566356,71,2,535,0.010941590314136126
5 least deprived,3 mid deprived,2 more deprived,5,3.7416573867739413,131,6,4354,0.0890461387434555
5 least deprived,3 mid deprived,3 mid deprived,4,2.8284271247461903,250,6,6916,0.14144306282722513
5 least deprived,3 mid deprived,4 less deprived,3,2.449489742783178,259,4,5503,0.11254499345549739
5 least deprived,3 mid deprived,5 least deprived,4,2.8284271247461903,335,3,6916,0.14144306282722513
5 least deprived,4 less deprived,1 most deprived,8,5.0990195135927845,48,4,1260,0.025768979057591623
5 least deprived,4 less deprived,2 more deprived,5,3.7416573867739413,120,6,4354,0.0890461387434555
5 least deprived,4 less deprived,3 mid deprived,3,2.449489742783178,197,6,5503,0.11254499345549739
5 least deprived,4 less deprived,4 less deprived,2,1.4142135623730951,300,6,16365,0.3346899541884817
5 least deprived,4 less deprived,5 least deprived,2,1.4142135623730951,517,3,16365,0.3346899541884817
5 least deprived,5 least deprived,1 most deprived,9,5.656854249492381,50,3,934,0.019101767015706806
5 least deprived,5 least deprived,2 more deprived,6,4.242640687119285,136,3,3182,0.06507689790575916
5 least deprived,5 least deprived,3 mid deprived,4,2.8284271247461903,230,6,6916,0.14144306282722513
5 least deprived,5 least deprived,4 less deprived,2,1.4142135623730951,395,6,16365,0.3346899541884817
5 least deprived,5 least deprived,5 least deprived,1,0,1220,1,9847,0.2013866164921466
